rank,finalWorth,category,personName,country,city,source,industries,organization,selfMade,status,gender,lastName,firstName,title,date,countryOfCitizenship,state,residenceStateRegion,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country
1,211000,Fashion & Retail,Bernard Arnault & family,France,Paris,LVMH,Fashion & Retail,LVMH Moët Hennessy Louis Vuitton,FALSE,U,M,Arnault,Bernard,Chairman and CEO,04-04-2023 05:01,France,,,1949,3,5,110.05,1.1,"$2,715,518,274,227 ",65.6,102.5,82.5,24.2,60.7,67059887,46.227638,2.213749
2,180000,Automotive,Elon Musk,United States,Austin,"Tesla, SpaceX",Automotive,Tesla,TRUE,D,M,Musk,Elon,CEO,04-04-2023 05:01,United States,Texas,South,1971,6,28,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
3,114000,Technology,Jeff Bezos,United States,Medina,Amazon,Technology,Amazon,TRUE,D,Male,Bezos,Jeff,Chairman and Founder,04-04-2023 05:01,United States,Washington,West,1964,1,12,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
4,107000,Technology,Larry Ellison,United States,Lanai,Oracle,Technology,Oracle,TRUE,U,M,Ellison,Larry,CTO and Founder,04-04-2023 05:01,United States,Hawaii,West,1944,8,17,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
5,106000,Finance & Investments,Warren Buffett,United States,Omaha,Berkshire Hathaway,Finance & Investments,Berkshire Hathaway Inc. (Cl A),TRUE,D,M,Buffett,Warren,CEO,04-04-2023 05:01,United States,Nebraska,Midwest,1930,8,30,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
6,104000,Technology,Bill Gates,United States,Medina,Microsoft,Technology,Bill & Melinda Gates Foundation,TRUE,D,M,Gates,Bill,Cochair,04-04-2023 05:01,United States,Washington,West,1955,10,28,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
7,94500,Media & Entertainment,Michael Bloomberg,United States,New York,Bloomberg LP,Media & Entertainment,Bloomberg,TRUE,U,M,Bloomberg,Michael,CEO,04-04-2023 05:01,United States,New York,Northeast,1942,2,14,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
8,93000,Telecom,Carlos Slim Helu & family,Mexico,Mexico City,Telecom,Telecom,América Móvil,TRUE,U,M,Slim Helu,Carlos,Honorary Chairman,04-04-2023 05:01,Mexico,,,1940,1,28,141.54,3.6,"$1,258,286,717,125 ",40.2,105.8,75,13.1,55.1,126014024,23.634501,-102.552784
9,83400,Diversified,Mukesh Ambani,India,Mumbai,Diversified,Diversified,Reliance Industries,FALSE,D,M,Ambani,Mukesh,Founder and Chairman,04-04-2023 05:01,India,,,1957,4,19,180.44,7.7,"$2,611,000,000,000 ",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288
10,80700,Technology,Steve Ballmer,United States,Hunts Point,Microsoft,Technology,Los Angeles Clippers,TRUE,D,Male,Ballmer,Steve,Owner,04-04-2023 05:01,United States,Washington,West,1956,3,24,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891
